D,issol,ved,Gas,Analysis,(,DG,A),Test,Res,ults
,,,,,,,,,,
,Sample Dat,e,H.o.2,O2 N2 Co,,CO2,CH4,C2H4,C2H6,C2H2
,,,,,,,,,,
,16/04/2023,00:00,305 4,709 10529 113s,,1306,1468,2254,1036,0
,,,,,,,,,,
,30/04/2023,00:00,6 4,210 2634 13,,1163,12,20,10,0
,,,,,,,,,,
,07/06/2023,00:00,26 1,835 2741 29,,1192,70,116,37,0
,,,,,,,,,,
,09/07/2023,00:00,39 3,032 3448 30,,1349,115,193,59,0
,,,,,,,,,,
,09/08/2023,00:00,51 2,297 3280 37,,1448,167,268,93,0
,,,,,,,,,,
,12/09/2023,00:00,164 1,152 7938 74,,1117,495,705,215,0
